language	gold_label	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	promptID	pairID	genre	label1	label2	label3	label4	label5	sentence1_tokenized	sentence2_tokenized	match
es	contradiction					The vehicle was pressed against the median at the height of the false Carlos Haya tunnel, one of the areas in which detentions are normally formed.	The vehicle reached its destination smoothly.	22	66	newspaper	contradiction	-	-	-	-			
es	contradiction					Agree to enable spaces for people to destroy the liver without disturbing others.	There is no agreement to enable spaces for people to drink without disturbing those who do not drink.	23	67	newspaper	contradiction	-	-	-	-			
es	neutral					Agree to enable spaces for people to destroy the liver without disturbing others.	The bottle is legal.	23	68	newspaper	neutral	-	-	-	-			
es	entailment					Agree to enable spaces for people to destroy the liver without disturbing others.	People drink.	23	69	newspaper	entailment	-	-	-	-			
es	neutral					For this reason, the use of the condom could never be recommended; for, had it been so, it would have been impelled to fall still further into the abhorrent vice of fornication; which could have been practiced by both single and married persons, and even by either of the two spouses, and without necessarily falling into the absence of adultery.	The price of condoms fell during this period.	24	70	newspaper	neutral	-	-	-	-			
es	contradiction					For this reason, the use of the condom could never be recommended; for, had it been so, it would have been impelled to fall still further into the abhorrent vice of fornication; which could have been practiced by both single and married persons, and even by either of the two spouses, and without necessarily falling into the absence of adultery.	Condoms reduce adultery.	24	71	newspaper	contradiction	-	-	-	-			
es	entailment					For this reason, the use of the condom could never be recommended; for, had it been so, it would have been impelled to fall still further into the abhorrent vice of fornication; which could have been practiced by both single and married persons, and even by either of the two spouses, and without necessarily falling into the absence of adultery.	Condoms boost sexual intercourse between people.	24	72	newspaper	entailment	-	-	-	-			
es	contradiction					The blockade is seen, it has only served to harden and eternalize the dictatorial regime (don't talk to me about left or right, it makes me laugh, it's a dictatorship and period).	Blockades dissolve dictatorships.	25	73	newspaper	contradiction	-	-	-	-			
es	neutral					The blockade is seen, it has only served to harden and eternalize the dictatorial regime (don't talk to me about left or right, it makes me laugh, it's a dictatorship and period).	It also makes me laugh with Groucho Marx.	25	74	newspaper	neutral	-	-	-	-			
es	entailment					The blockade is seen, it has only served to harden and eternalize the dictatorial regime (don't talk to me about left or right, it makes me laugh, it's a dictatorship and period).	The dictatorial regime is powerful.	25	75	newspaper	entailment	-	-	-	-			
es	neutral					Currently, three out of four pure-fed Iberian pigs with acorns slaughtered in the last campaign are 5J.	The Iberian pigs live in Dehesas.	26	76	newspaper	neutral	-	-	-	-			
es	contradiction					Currently, three out of four pure-fed Iberian pigs with acorns slaughtered in the last campaign are 5J.	Iberian pigs do not feed exclusively on acorns.	26	77	newspaper	contradiction	-	-	-	-			
es	entailment					Currently, three out of four pure-fed Iberian pigs with acorns slaughtered in the last campaign are 5J.	The quality of the Iberian pigs of the last season is high.	26	78	newspaper	entailment	-	-	-	-			
es	entailment					THE TRUTH, THIS IS FROM THIRD-PARTY COUNTRIES AND BANANA REPUBLICS, THAT MAY HAVE A FACE THAT WE MUST PAY MORE, TO RECEIVE LESS AND AT THE WORST OF THE CASES, A MALISM SERVICE!!!	We have less and less money.	27	79	newspaper	entailment	-	-	-	-			
es	contradiction					THE TRUTH, THIS IS FROM THIRD-PARTY COUNTRIES AND BANANA REPUBLICS, THAT MAY HAVE A FACE THAT WE MUST PAY MORE, TO RECEIVE LESS AND AT THE WORST OF THE CASES, A MALISM SERVICE!!!	We should receive more and pay less.	27	80	newspaper	contradiction	-	-	-	-			
es	neutral					THE TRUTH, THIS IS FROM THIRD-PARTY COUNTRIES AND BANANA REPUBLICS, THAT MAY HAVE A FACE THAT WE MUST PAY MORE, TO RECEIVE LESS AND AT THE WORST OF THE CASES, A MALISM SERVICE!!!	There are countries that want to improve their service to the general public.	27	81	newspaper	neutral	-	-	-	-			
es	neutral					In any case, neither Real Mazdrid nor Sevilla will reach Barcelona.	Seville and Real Madrid are at the same distance from Barcelona.	28	82	newspaper	neutral	-	-	-	-			
es	entailment					In any case, neither Real Mazdrid nor Sevilla will reach Barcelona.	Real Madrid is behind Barcelona.	28	83	newspaper	entailment	-	-	-	-			
es	contradiction					In any case, neither Real Mazdrid nor Sevilla will reach Barcelona.	Barcelona is behind Seville.	28	84	newspaper	contradiction	-	-	-	-			
es	entailment					The diplomat made the announcement three days after the president of Colombia, Alvaro Uribe, asked the United States to be more severe in the penalties for drug traffickers to be extradited, in an unusual rebuke from Washington's strongest ally in Latin America.	Álvaro Uribe would punish drug traffickers more severely.	29	85	newspaper	entailment	-	-	-	-			
es	contradiction					The diplomat made the announcement three days after the president of Colombia, Alvaro Uribe, asked the United States to be more severe in the penalties for drug traffickers to be extradited, in an unusual rebuke from Washington's strongest ally in Latin America.	No one has spoken after Uribe's statements.	29	86	newspaper	contradiction	-	-	-	-			
es	neutral					The diplomat made the announcement three days after the president of Colombia, Alvaro Uribe, asked the United States to be more severe in the penalties for drug traffickers to be extradited, in an unusual rebuke from Washington's strongest ally in Latin America.	The diplomat apologized for America's inefficiency.	29	87	newspaper	neutral	-	-	-	-			
es	neutral					In a recording session, things were twisted, according to sources close to the production company.	The events occurred a month ago	30	88	newspaper	neutral	-	-	-	-			
es	contradiction					In a recording session, things were twisted, according to sources close to the production company.	The recording session went smoothly	30	89	newspaper	contradiction	-	-	-	-			
es	entailment					In a recording session, things were twisted, according to sources close to the production company.	Problems appeared during a recording session	30	90	newspaper	entailment	-	-	-	-			
es	neutral					Welcome back to the great Kimi circus, the F1 needs great pilots and Kimi is, can go very fast and shortly after the Lotus runs Kimi will be there giving war.	Kimi was part of the Mercedes team in the previous campaign.	31	91	newspaper	neutral	-	-	-	-			
es	entailment					Welcome back to the great Kimi circus, the F1 needs great pilots and Kimi is, can go very fast and shortly after the Lotus runs Kimi will be there giving war.	Kimi is a safe bet as a driver for F1 soon after the car performs.	31	92	newspaper	entailment	-	-	-	-			
es	contradiction					Welcome back to the great Kimi circus, the F1 needs great pilots and Kimi is, can go very fast and shortly after the Lotus runs Kimi will be there giving war.	F1 distrusts Kimi's abilities.	31	93	newspaper	contradiction	-	-	-	-			
es	neutral					HELSINKI (Reuters) - A Finnish computer engineer who lost one of his fingers in a motorcycle accident has given a new use to the prosthesis that was placed in his hand: a USB stick.	A Finnish computer engineer is happy to use a USB stick on his prosthesis on the finger of his hand	32	94	newspaper	neutral	-	-	-	-			
es	entailment					HELSINKI (Reuters) - A Finnish computer engineer who lost one of his fingers in a motorcycle accident has given a new use to the prosthesis that was placed in his hand: a USB stick.	A Finnish computer engineer uses a USB stick in his prosthesis on the finger	32	95	newspaper	entailment	-	-	-	-			
es	contradiction					HELSINKI (Reuters) - A Finnish computer engineer who lost one of his fingers in a motorcycle accident has given a new use to the prosthesis that was placed in his hand: a USB stick.	a USB stick cannot be placed on a prosthesis.	32	96	newspaper	contradiction	-	-	-	-			
es	entailment					It is a charming town because of its location and ethnographic elements, but let's not fool ourselves, if you take two steps, one if you have the long stride, you have already gone beyond its limits.	The village is small.	33	97	newspaper	entailment	-	-	-	-			
es	neutral					It is a charming town because of its location and ethnographic elements, but let's not fool ourselves, if you take two steps, one if you have the long stride, you have already gone beyond its limits.	The people of the village are very nice.	33	98	newspaper	neutral	-	-	-	-			
es	contradiction					It is a charming town because of its location and ethnographic elements, but let's not fool ourselves, if you take two steps, one if you have the long stride, you have already gone beyond its limits.	The people have no interest.	33	99	newspaper	contradiction	-	-	-	-			
es	neutral					It now only works in Madrid, where 116 men wear an anti-maltreatment bracelet.	The anti-mistreatment bracelet is an effective tool to protect victims.	34	100	newspaper	neutral	-	-	-	-			
es	contradiction					It now only works in Madrid, where 116 men wear an anti-maltreatment bracelet.	It works throughout Spain.	34	101	newspaper	contradiction	-	-	-	-			
es	entailment					It now only works in Madrid, where 116 men wear an anti-maltreatment bracelet.	The bracelet monitors the position of the man.	34	102	newspaper	entailment	-	-	-	-			
es	contradiction					It is a very long road and it goes badly, but it goes out.	It is impossible to get out.	35	103	newspaper	contradiction	-	-	-	-			
es	entailment					It is a very long road and it goes badly, but it goes out.	It is hard but it can be achieved.	35	104	newspaper	entailment	-	-	-	-			
es	neutral					It is a very long road and it goes badly, but it goes out.	It always goes out.	35	105	newspaper	neutral	-	-	-	-			
es	contradiction					In the same quarter, the two courts filed 965 criminal cases and, despite managing to process 996 (many of them from previous periods and overtime), at the end of the three months there were still 422 pending, according to the latest data from the General Council of the Judiciary.	The courts deal in time with all the criminal cases brought before them.	36	106	newspaper	contradiction	-	-	-	-			
es	entailment					In the same quarter, the two courts filed 965 criminal cases and, despite managing to process 996 (many of them from previous periods and overtime), at the end of the three months there were still 422 pending, according to the latest data from the General Council of the Judiciary.	Courts have difficulty in dealing with all criminal cases brought before them.	36	107	newspaper	entailment	-	-	-	-			
es	neutral					In the same quarter, the two courts filed 965 criminal cases and, despite managing to process 996 (many of them from previous periods and overtime), at the end of the three months there were still 422 pending, according to the latest data from the General Council of the Judiciary.	The General Council of the Judiciary issues data on criminal frights entered and processed	36	108	newspaper	neutral	-	-	-	-			
es	contradiction					You have to fuck with hypocrisy in the press / public opinion.	The public press is free of hypocrisy.	37	109	newspaper	contradiction	-	-	-	-			
es	neutral					You have to fuck with hypocrisy in the press / public opinion.	The public press has an obligation to fight hypocrisy.	37	110	newspaper	neutral	-	-	-	-			
es	entailment					You have to fuck with hypocrisy in the press / public opinion.	There is a lot of hypocrisy in the public press.	37	111	newspaper	entailment	-	-	-	-			
es	neutral					"Zlatan knows how to defend the ball," he says.	Zlatan is surnamed Ibrahimovic.	38	112	newspaper	neutral	-	-	-	-			
es	entailment					"Zlatan knows how to defend the ball," he says.	Zlatan knows how to bargain.	38	113	newspaper	entailment	-	-	-	-			
es	contradiction					"Zlatan knows how to defend the ball," he says.	Zlatan loses all balls.	38	114	newspaper	contradiction	-	-	-	-			
es	contradiction					Zionists ensure impunity by controlling the world economy and the media.	The Zionists do nothing wrong.	39	115	newspaper	contradiction	-	-	-	-			
es	entailment					Zionists ensure impunity by controlling the world economy and the media.	Zionists try to control the world economy and the media.	39	116	newspaper	entailment	-	-	-	-			
es	neutral					Zionists ensure impunity by controlling the world economy and the media.	The Zionists are unpunished	39	117	newspaper	neutral	-	-	-	-			
es	entailment					Now it turns out that Catholics are going to teach us morality, when for millennia they have massacred cultures, and entire nations, just for the pinche power and money. or that they do not remember that the Stupid Crusades, was not only a butchery that they said they fought in the name of God, that if they are idiocies, and they are not images that only take up banal symbols.	The moral classes are for power and money.	40	118	newspaper	entailment	-	-	-	-			
es	neutral					Now it turns out that Catholics are going to teach us morality, when for millennia they have massacred cultures, and entire nations, just for the pinche power and money. or that they do not remember that the Stupid Crusades, was not only a butchery that they said they fought in the name of God, that if they are idiocies, and they are not images that only take up banal symbols.	Catholics have massacred cultures by bicycle.	40	119	newspaper	neutral	-	-	-	-			
es	contradiction					Now it turns out that Catholics are going to teach us morality, when for millennia they have massacred cultures, and entire nations, just for the pinche power and money. or that they do not remember that the Stupid Crusades, was not only a butchery that they said they fought in the name of God, that if they are idiocies, and they are not images that only take up banal symbols.	The Buddhists are going to teach morality.	40	120	newspaper	contradiction	-	-	-	-			
es	entailment					These renowned architects are disgusting.	I have a negative opinion on certain renowned architects.	41	121	newspaper	entailment	-	-	-	-			
es	contradiction					These renowned architects are disgusting.	I love those renowned architects.	41	122	newspaper	contradiction	-	-	-	-			
es	neutral					These renowned architects are disgusting.	Those renowned architects are expensive.	41	123	newspaper	neutral	-	-	-	-			
es	contradiction					The increase occurs "in order to avoid compliance with the new rule."	The increase is not related to the change of regulations	42	124	newspaper	contradiction	-	-	-	-			
es	neutral					The increase occurs "in order to avoid compliance with the new rule."	The increase is estimated at 3%	42	125	newspaper	neutral	-	-	-	-			
es	entailment					The increase occurs "in order to avoid compliance with the new rule."	A new standard has been published	42	126	newspaper	entailment	-	-	-	-			
es	entailment					There is also no right to leave when one has been in a situation of inactivity that counts as actual work for the purpose of vacation, but these have been extended throughout the calendar year.	Being down the full year do not correspond to vacation	43	127	newspaper	entailment	-	-	-	-			
es	neutral					There is also no right to leave when one has been in a situation of inactivity that counts as actual work for the purpose of vacation, but these have been extended throughout the calendar year.	A year is 12 months	43	128	newspaper	neutral	-	-	-	-			
es	contradiction					There is also no right to leave when one has been in a situation of inactivity that counts as actual work for the purpose of vacation, but these have been extended throughout the calendar year.	Being down the full year correspond to you vacation	43	129	newspaper	contradiction	-	-	-	-			
es	contradiction					The final ruling handed down by Laureano Martínez, head of Criminal Court 2 of Almería, imposes a fine of 12 euros a day for Amizian as the perpetrator of a crime against traffic safety for half a year, as well as the deprivation of driving licences for motor vehicles and mopeds for one year and one day.	Amizian will maintain the driving license.	44	130	newspaper	contradiction	-	-	-	-			
es	entailment					The final ruling handed down by Laureano Martínez, head of Criminal Court 2 of Almería, imposes a fine of 12 euros a day for Amizian as the perpetrator of a crime against traffic safety for half a year, as well as the deprivation of driving licences for motor vehicles and mopeds for one year and one day.	Amizian was convicted of a traffic offense.	44	131	newspaper	entailment	-	-	-	-			
es	neutral					The final ruling handed down by Laureano Martínez, head of Criminal Court 2 of Almería, imposes a fine of 12 euros a day for Amizian as the perpetrator of a crime against traffic safety for half a year, as well as the deprivation of driving licences for motor vehicles and mopeds for one year and one day.	The final judgement against Amizian may be appealed.	44	132	newspaper	neutral	-	-	-	-			
es	neutral					But they have decided to face it and define their style "as more practical and more direct" than that of men.	A style as practical as theirs surpasses that of men in every way.	45	133	newspaper	neutral	-	-	-	-			
es	contradiction					But they have decided to face it and define their style "as more practical and more direct" than that of men.	The style of men is more practical than that of women.	45	134	newspaper	contradiction	-	-	-	-			
es	entailment					But they have decided to face it and define their style "as more practical and more direct" than that of men.	Their style is more direct than theirs.	45	135	newspaper	entailment	-	-	-	-			
es	contradiction					It is not possible so much cruelty!!!!	Cruelty does not surprise anyone	46	136	newspaper	contradiction	-	-	-	-			
es	entailment					It is not possible so much cruelty!!!!	Cruelty exists	46	137	newspaper	entailment	-	-	-	-			
es	neutral					It is not possible so much cruelty!!!!	There is a lot of cruelty	46	138	newspaper	neutral	-	-	-	-			
es	entailment					But the mafias will continue to operate, in 4 days outside and Easter saints.	There are mafias.	47	139	newspaper	entailment	-	-	-	-			
es	contradiction					But the mafias will continue to operate, in 4 days outside and Easter saints.	The mafias do not dissolve.	47	140	newspaper	contradiction	-	-	-	-			
es	neutral					But the mafias will continue to operate, in 4 days outside and Easter saints.	There are operations against the mafias.	47	141	newspaper	neutral	-	-	-	-			
es	contradiction					Seven vehicles have also been burned in Sant Quirze.	Only 5 cohesives burned in Sant Quirze	48	142	newspaper	contradiction	-	-	-	-			
es	neutral					Seven vehicles have also been burned in Sant Quirze.	Smoke created by burning 7 cars caused the poisoning of 3 neighbors	48	143	newspaper	neutral	-	-	-	-			
es	entailment					Seven vehicles have also been burned in Sant Quirze.	7 drivers from Sant Quirze have run out of cars.	48	144	newspaper	entailment	-	-	-	-			
es	neutral					"In 1996, Michael asked me to give him my sperm and I said yes," he continues.	The sperm was ceded to Michael because of his fertility problems.	49	145	newspaper	neutral	-	-	-	-			
es	entailment					"In 1996, Michael asked me to give him my sperm and I said yes," he continues.	I was willing to give the sperm to Michael.	49	146	newspaper	entailment	-	-	-	-			
es	contradiction					"In 1996, Michael asked me to give him my sperm and I said yes," he continues.	In 1997 it was the first time that Michael raised the idea of ceding my sperm to him.	49	147	newspaper	contradiction	-	-	-	-			
es	entailment					It is that I am a swearer.	I apologize for my behavior.	50	148	newspaper	entailment	-	-	-	-			
es	contradiction					It is that I am a swearer.	I am a very cautious person.	50	149	newspaper	contradiction	-	-	-	-			
es	neutral					It is that I am a swearer.	I like to go out at night.	50	150	newspaper	neutral	-	-	-	-			
es	entailment					At the foot of the air giant were José Luis Rodríguez Zapatero, the French head of state, Jacques Chirac; the German chancellor, Gerhard Schroeder; and the British Prime Minister, Tony Blair, representing the four partner countries of Airbus and co-financers of the new giant baby of the company, with capacity for 555 passengers in its standard version (although it can have up to 853 seats).	Spain, France, Germany and Great Britain have co-financed the new baby from Airbus	51	151	newspaper	entailment	-	-	-	-			
es	neutral					At the foot of the air giant were José Luis Rodríguez Zapatero, the French head of state, Jacques Chirac; the German chancellor, Gerhard Schroeder; and the British Prime Minister, Tony Blair, representing the four partner countries of Airbus and co-financers of the new giant baby of the company, with capacity for 555 passengers in its standard version (although it can have up to 853 seats).	The seats of the new Airbus are comfortable	51	152	newspaper	neutral	-	-	-	-			
es	contradiction					At the foot of the air giant were José Luis Rodríguez Zapatero, the French head of state, Jacques Chirac; the German chancellor, Gerhard Schroeder; and the British Prime Minister, Tony Blair, representing the four partner countries of Airbus and co-financers of the new giant baby of the company, with capacity for 555 passengers in its standard version (although it can have up to 853 seats).	No European country has co-financed the new Airbus aircraft	51	153	newspaper	contradiction	-	-	-	-			
es	neutral					'The boarding school', 'Lost', 'Central Hospital', 'Kyle XY' and 'Disappeared' are tonight's fiction options.	'Lost' and 'The boarding school' are also projected during the day.	52	154	newspaper	neutral	-	-	-	-			
es	entailment					'The boarding school', 'Lost', 'Central Hospital', 'Kyle XY' and 'Disappeared' are tonight's fiction options.	Tonight different series are projected.	52	155	newspaper	entailment	-	-	-	-			
es	contradiction					'The boarding school', 'Lost', 'Central Hospital', 'Kyle XY' and 'Disappeared' are tonight's fiction options.	'The boarding school', 'Lost', 'Central Hospital', 'Kyle XY' and 'Disappeared' are projected at the same time.	52	156	newspaper	contradiction	-	-	-	-			
es	neutral					According to Paunero, there is a lack of social awareness that, under the Penal Code, a person who mistreats an animal can be sentenced to prison terms, in addition to which it is still very difficult to conduct a full investigation with all the evidence to prove the facts alleged.	Reports of animal abuse are numerous but not fully investigated.	53	157	newspaper	neutral	-	-	-	-			
